"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","102/1254","371/9793",0.274932614555256,2.14706147873973,8.63143618520421,9.09200677856176e-15,3.72527725812083e-12,3.14560024770386e-12,"118502414/118502453/118502545/118502555/118502687/118502689/118502697/118502857/118502868/118503338/118503574/118503599/118503638/118503734/118503790/118503913/118504221/118504492/118504550/118505205/118505219/118505625/118505626/118505728/118505758/118505760/118505845/118505855/118506036/118506256/118506326/118506372/118506420/118506880/118506883/118507272/118507399/118507541/118507542/118507617/118507625/118507633/118507678/118507771/118507778/118507884/118507892/118508129/118508313/118508314/118508392/118508807/118508989/118508990/118509138/118509200/118509274/118509430/118509475/118509547/118509606/118509632/118509655/118509676/118509729/118510168/118510359/118510376/118510667/118510714/118510831/118510926/118511691/118511899/118512028/118512400/118512524/118512968/118512988/118513116/118513165/118513502/118513548/118513629/118513696/118513810/118513813/118513870/118513889/118513956/118514169/118514473/118514620/118515203/118515241/118515257/118516704/118516756/118517157/118517203/118517439/118517639",102
"2","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","92/1254","322/9793",0.285714285714286,2.23125996810207,8.6091592412321,1.61968576440036e-14,3.72527725812083e-12,3.14560024770386e-12,"118502453/118502545/118502687/118502857/118503338/118503599/118503879/118503913/118504492/118504550/118504564/118504761/118505205/118505219/118505286/118505710/118505711/118505728/118505760/118506036/118506206/118506210/118506326/118506372/118506880/118506883/118507137/118507272/118507399/118507541/118507617/118507625/118507633/118507678/118507771/118508117/118508129/118508313/118508314/118508392/118508807/118508967/118509086/118509138/118509200/118509274/118509289/118509430/118509547/118509606/118509632/118509655/118509676/118509990/118510168/118510359/118510376/118510626/118510667/118510714/118510794/118511240/118511691/118511899/118512028/118512400/118512524/118512853/118512968/118512988/118513116/118513502/118513696/118513810/118513813/118513930/118513956/118514043/118514169/118514366/118514436/118514473/118515257/118516438/118516704/118516756/118517157/118517203/118517247/118517334/118517639/118517661",92
"4","GO:0045296","cadherin binding","9/1254","13/9793",0.692307692307692,5.40651453809348,6.09225986584882,3.97160271539332e-06,0.000456734312270232,0.000385663526836878,"118502979/118505865/118506798/118508155/118508445/118509260/118512645/118515568/118517277",9
"5","GO:0030154","cell differentiation","22/1254","64/9793",0.34375,2.68448464912281,5.18088445558008,7.30227132368682e-06,0.000671808961779187,0.000567271182829566,"118502857/118503297/118503913/118506206/118508117/118508129/118508313/118508314/118509480/118509639/118509835/118509990/118510168/118510626/118510831/118512497/118512524/118513165/118513696/118514322/118514436/118514703",22
"6","GO:0030182","neuron differentiation","13/1254","29/9793",0.448275862068966,3.50076994995325,5.16820604304006,2.17417517228246e-05,0.00166686763208322,0.00140749234837233,"118504761/118505625/118505626/118505794/118505855/118508989/118508990/118509655/118512441/118512699/118513810/118513813/118514620",13
"7","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","16/1254","43/9793",0.372093023255814,2.9058269352027,4.79950384996329,4.22875795596795e-05,0.00256260041506805,0.00216384337107577,"118502979/118504716/118505603/118507374/118508221/118508445/118508473/118508954/118509260/118509462/118511415/118512250/118514067/118514070/118514091/118517277",16
"8","GO:0007219","Notch signaling pathway","8/1254","13/9793",0.615384615384615,4.80579070052754,5.26172459938738,5.01378342078532e-05,0.00256260041506805,0.00216384337107577,"118503297/118503640/118504221/118505030/118505437/118508403/118510984/118511695",8
"9","GO:0030992","intraciliary transport particle B","8/1254","13/9793",0.615384615384615,4.80579070052754,5.26172459938738,5.01378342078532e-05,0.00256260041506805,0.00216384337107577,"118504281/118504427/118509370/118511336/118511759/118512413/118513544/118517103",8
"10","GO:0045944","positive regulation of transcription by RNA polymerase II","20/1254","65/9793",0.307692307692308,2.40289535026377,4.34861677696217,0.00011339910833389,0.00521635898335892,0.00440466010265319,"118503857/118504221/118504564/118505147/118506206/118506372/118508082/118508117/118508224/118509015/118509274/118509546/118509990/118510087/118510168/118510262/118513909/118514364/118514436/118515568",20
"11","GO:0060271","cilium assembly","18/1254","56/9793",0.321428571428571,2.51016746411483,4.3429767233587,0.000132491511670695,0.00554055412441087,0.00467840840253458,"118503409/118503624/118503714/118506550/118506621/118507264/118509123/118509199/118509816/118510541/118511152/118511341/118511759/118512073/118512413/118512505/118512644/118517261",18
"12","GO:0005929","cilium","12/1254","30/9793",0.4,3.1237639553429,4.46432899653918,0.000172892033962474,0.0066275279685615,0.00559624215194324,"118503281/118504653/118505418/118506305/118508138/118508804/118511152/118511336/118511759/118512413/118512644/118513544",12
"13","GO:0042073","intraciliary transport","7/1254","12/9793",0.583333333333333,4.55548910154173,4.72257984384723,0.00024456513397056,0.00770799431608363,0.00650858101289442,"118504427/118509370/118509499/118511152/118511336/118511759/118513544",7
"14","GO:0004879","nuclear receptor activity","9/1254","19/9793",0.473684210526316,3.69919415764291,4.51290012467808,0.000248955007452341,0.00770799431608363,0.00650858101289442,"118506206/118508117/118508967/118509990/118510626/118510794/118510987/118514380/118514436",9
"15","GO:0015074","DNA integration","26/1254","100/9793",0.26,2.03044657097289,3.9689656099414,0.000259524989992815,0.00770799431608363,0.00650858101289442,"118503311/118503941/118504363/118504451/118504786/118505467/118506018/118506375/118506592/118507156/118507514/118508058/118508955/118509327/118509629/118509844/118509982/118511085/118511538/118511603/118513324/118514016/118514020/118515076/118515145/118517729",26
"17","GO:0005911","cell-cell junction","9/1254","20/9793",0.45,3.51423444976077,4.31308269584721,0.000401499093727717,0.010864093124397,0.00917357062449087,"118505168/118506634/118506652/118508118/118508954/118509150/118511075/118511077/118514070",9
"18","GO:0048856","anatomical structure development","10/1254","25/9793",0.4,3.1237639553429,4.0743129881943,0.000603664380605428,0.0154269786154721,0.013026441897275,"118505205/118506206/118506256/118507199/118509632/118509990/118510626/118512740/118514436/118517639",10
"20","GO:0003677","DNA binding","43/1254","208/9793",0.206730769230769,1.61444531345847,3.43241513926586,0.000875698408329247,0.0201410633915727,0.0170069848775522,"118502426/118502868/118503280/118503701/118503857/118503881/118504221/118504763/118504877/118504988/118505625/118505626/118505660/118505804/118505845/118505957/118506141/118506302/118507123/118507255/118507542/118507703/118507747/118507778/118508082/118508128/118510262/118510607/118510926/118511097/118511803/118512026/118513007/118513467/118513832/118513988/118516339/118517099/118517100/118517292/118517362/118517612/118517641",43
"21","GO:0016342","catenin complex","6/1254","11/9793",0.545454545454545,4.25967812092214,4.14513037420231,0.0011334442694442,0.0244863925601411,0.0206761529855654,"118502979/118506798/118508445/118509260/118515568/118517277",6
"22","GO:0003700","DNA-binding transcription factor activity","18/1254","66/9793",0.272727272727273,2.12983906046107,3.52923078337502,0.00122160041728158,0.0244863925601411,0.0206761529855654,"118503742/118503879/118505029/118505286/118505710/118505711/118506210/118507137/118507487/118508249/118509086/118510270/118511252/118512024/118513988/118517247/118517334/118517661",18
"23","GO:0000785","chromatin","10/1254","27/9793",0.37037037037037,2.89237403272491,3.77321425035741,0.00122431962800706,0.0244863925601411,0.0206761529855654,"118502426/118503701/118503881/118504697/118505152/118508958/118509639/118512989/118513467/118514103",10
"24","GO:0007275","multicellular organism development","15/1254","51/9793",0.294117647058824,2.29688526128155,3.55830805669599,0.00133344704302698,0.0255577349913505,0.0215807876700419,"118502979/118503061/118503297/118509260/118510412/118510984/118511289/118512441/118512699/118513810/118513813/118514322/118516428/118517272/118517277",15
"25","GO:1905515","non-motile cilium assembly","7/1254","15/9793",0.466666666666667,3.64439128123339,3.927600381336,0.0014001292553485,0.0255752366257848,0.0215955659380197,"118502563/118506142/118508064/118509499/118511237/118513418/118513544",7
"27","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","24/1254","101/9793",0.237623762376238,1.85570135960964,3.31250978674685,0.0017354271073202,0.0295665359024923,0.0249657934737292,"118502414/118502555/118502689/118503574/118503734/118505758/118505855/118506256/118506420/118507884/118507892/118508989/118508990/118509475/118509639/118509729/118513548/118513629/118513870/118513889/118514620/118515203/118515241/118517439",24
"30","GO:0036064","ciliary basal body","10/1254","30/9793",0.333333333333333,2.60313662945242,3.36992692727143,0.0030415802620539,0.0440979114040528,0.0372359938400354,"118503714/118504281/118507484/118508064/118509370/118509499/118509816/118511112/118514012/118517103",10
"31","GO:0005814","centriole","8/1254","21/9793",0.380952380952381,2.97501329080276,3.47191356474815,0.00307589949984112,0.0440979114040528,0.0372359938400354,"118503714/118505126/118506621/118507264/118508556/118509499/118511759/118514012",8
"33","GO:0005102","signaling receptor binding","6/1254","13/9793",0.461538461538462,3.60434302539566,3.6006540664645,0.00335168890882422,0.0440979114040528,0.0372359938400354,"118504387/118505168/118507199/118509480/118509835/118512740",6
"34","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","7/1254","17/9793",0.411764705882353,3.21563936579416,3.50367569822581,0.00335527586769967,0.0440979114040528,0.0372359938400354,"118504613/118506065/118507971/118511517/118511858/118513085/118516332",7
"35","GO:0030198","extracellular matrix organization","7/1254","17/9793",0.411764705882353,3.21563936579416,3.50367569822581,0.00335527586769967,0.0440979114040528,0.0372359938400354,"118502356/118502706/118504785/118511078/118511844/118513297/118513917",7
"36","GO:0046983","protein dimerization activity","18/1254","72/9793",0.25,1.95235247208931,3.10806042846169,0.003499770836075,0.0447192940165139,0.0377606853365987,"118502414/118502689/118503599/118504492/118506420/118506991/118507884/118507892/118508392/118508807/118509475/118510987/118511899/118512968/118512988/118513116/118517439/118517741",18
"37","GO:0038023","signaling receptor activity","9/1254","26/9793",0.346153846153846,2.70325726904674,3.33247803106073,0.00365296006943812,0.0454151792416632,0.0383482863619536,"118503178/118503380/118503384/118504330/118505829/118506312/118507387/118507670/118508512",9
