"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"11","GO:0008076","voltage-gated potassium channel complex","9/927","13/9793",0.692307692307692,7.31366691560866,7.36538785290762,2.9607708200441e-07,1.06049427554307e-05,8.75481515209211e-06,"118502539/118507132/118510336/118511198/118513648/118514181/118517144/118517146/118517151",9
"12","GO:0071805","potassium ion transmembrane transport","12/927","24/9793",0.5,5.28209277238403,6.79122851638796,4.45197734186739e-07,1.46173256057979e-05,1.206720174243e-05,"118505039/118506020/118506841/118507132/118510336/118511996/118513648/118514181/118517003/118517144/118517146/118517151",12
"15","GO:1902476","chloride transmembrane transport","10/927","20/9793",0.5,5.28209277238403,6.1982462535876,4.20316339612095e-06,0.000110403091871444,9.11422799579912e-05,"118502777/118502778/118503329/118503536/118506428/118510532/118512827/118513215/118513606/118517008",10
"16","GO:0030424","axon","21/927","76/9793",0.276315789473684,2.91905126894907,5.43048949825478,4.65873203826245e-06,0.000114721276442213,9.47071184094142e-05,"118504404/118504479/118504934/118504938/118505585/118505923/118507219/118507723/118508044/118508221/118508223/118508473/118509611/118511010/118511415/118513648/118514045/118517144/118517146/118517151/118517592",21
"17","GO:0007218","neuropeptide signaling pathway","9/927","17/9793",0.529411764705882,5.59280411193604,6.12820793613959,7.08583304501421e-06,0.000164224601160918,0.000135574143090365,"118503214/118505431/118506972/118507482/118510758/118512904/118513775/118517378/118517381",9
"18","GO:0030594","neurotransmitter receptor activity","10/927","23/9793",0.434782608695652,4.59312414989916,5.57828328342304,1.99697979286619e-05,0.000437116687994045,0.000360857752044242,"118503329/118504164/118506428/118506721/118509156/118510532/118510610/118512827/118513606/118517008",10
"20","GO:0035725","sodium ion transmembrane transport","14/927","46/9793",0.304347826086957,3.21518690492941,4.86928858335807,5.60125776993489e-05,0.00110344778067717,0.000910941395215727,"118502777/118502778/118503073/118503505/118504404/118504893/118504894/118506196/118507279/118511102/118511253/118511420/118511428/118512426",14
"21","GO:0051260","protein homooligomerization","8/927","17/9793",0.470588235294118,4.97138143283203,5.29903967619022,6.98225551912237e-05,0.00131000413073058,0.001081462133037,"118507132/118510336/118513648/118514181/118517144/118517146/118517151/118517421",8
"22","GO:0030672","synaptic vesicle membrane","6/927","10/9793",0.6,6.33851132686084,5.46129765975155,0.000106446719557009,0.00182347858719399,0.00150535635437601,"118502666/118504201/118507534/118509652/118513861/118514045",6
"23","GO:0043195","terminal bouton","6/927","10/9793",0.6,6.33851132686084,5.46129765975155,0.000106446719557009,0.00182347858719399,0.00150535635437601,"118502852/118504103/118504275/118507430/118507534/118509652",6
"24","GO:0070588","calcium ion transmembrane transport","8/927","19/9793",0.421052631578947,4.44807812411287,4.86440175313039,0.000182705954489113,0.00299942275286294,0.00247614648847087,"118503026/118503406/118503505/118508559/118509128/118512512/118512622/118513809",8
"25","GO:0005891","voltage-gated calcium channel complex","6/927","11/9793",0.545454545454545,5.76228302441895,5.10986494130769,0.000215428269148055,0.00328508902600712,0.00271197571209244,"118503505/118504855/118504857/118511274/118512916/118513809",6
"26","GO:0001664","G protein-coupled receptor binding","7/927","15/9793",0.466666666666667,4.9299532542251,4.92515274176511,0.000216782524558845,0.00328508902600712,0.00271197571209244,"118502844/118503899/118503979/118505712/118506500/118509728/118513188",7
"29","GO:1990573","potassium ion import across plasma membrane","7/927","16/9793",0.4375,4.62183117583603,4.68810243493241,0.000354047183349268,0.00481015828412454,0.00397098292758344,"118502777/118502778/118503536/118504398/118507126/118507133/118510606",7
"30","GO:0004383","guanylate cyclase activity","6/927","12/9793",0.5,5.28209277238403,4.79917704547075,0.000396416148589694,0.00488087382951061,0.00402936151033604,"118504467/118505480/118506546/118506718/118507473/118514501",6
"31","GO:0006182","cGMP biosynthetic process","6/927","12/9793",0.5,5.28209277238403,4.79917704547075,0.000396416148589694,0.00488087382951061,0.00402936151033604,"118504467/118505480/118506546/118506718/118507473/118514501",6
"33","GO:0005254","chloride channel activity","7/927","17/9793",0.411764705882353,4.34995875372803,4.46987141624086,0.000553004423059898,0.00660253765713939,0.00545066560527938,"118503329/118506428/118510532/118512827/118513215/118513606/118517008",7
