"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","GO:0005739","mitochondrion","88/1024","327/9793",0.269113149847095,2.57365730122324,9.89034481486627,1.23407528417265e-17,4.77587134974817e-15,4.35173915997725e-15,"118502685/118502850/118502908/118502975/118503011/118503511/118503594/118503601/118503985/118504114/118504119/118504158/118504235/118504752/118504760/118504774/118504969/118504974/118504976/118505055/118505075/118505308/118505523/118505703/118505732/118506083/118506324/118506617/118506636/118507183/118507188/118507410/118507411/118507414/118507427/118507622/118507854/118507907/118508060/118508122/118508206/118508506/118508560/118509427/118509527/118509788/118510198/118510242/118510292/118510454/118510455/118511016/118511089/118511104/118511117/118511197/118511853/118512408/118512540/118512612/118512837/118512858/118512962/118512980/118513265/118513280/118513285/118513368/118513443/118513490/118513491/118513530/118513613/118513768/118514253/118514385/118514447/118514451/118516367/118516488/118516530/118516532/118517270/118517284/118517575/118517615/118517616/118517618",88
"2","GO:0005747","GO:0005747","20/1024","38/9793",0.526315789473684,5.03340871710526,8.51257673284121,1.08979739973757e-10,2.1087579684922e-08,1.92148488901098e-08,"118502569/118504774/118505523/118506754/118507183/118507284/118507411/118507970/118508506/118509616/118510136/118510179/118510548/118511430/118511615/118512803/118513311/118513351/118513977/118516927",20
"5","GO:0005506","iron ion binding","38/1024","151/9793",0.251655629139073,2.40670271109272,5.95275324189773,1.75400763055499e-07,1.24110116677107e-05,1.13088233610311e-05,"118502409/118502459/118502460/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505440/118505441/118506189/118506660/118506666/118506814/118506832/118506833/118506914/118506916/118507486/118507758/118510036/118510076/118511197/118512064/118512203/118512341/118512771/118513118/118513644/118516383/118517131/118517133",38
"6","GO:0006099","tricarboxylic acid cycle","12/1024","21/9793",0.571428571428571,5.46484375,6.9989812326745,1.92418785545902e-07,1.24110116677107e-05,1.13088233610311e-05,"118503432/118504114/118505075/118505786/118506617/118506636/118506917/118507364/118507622/118509527/118510198/118517501",12
"7","GO:0030170","pyridoxal phosphate binding","14/1024","34/9793",0.411764705882353,3.93790211397059,5.86387585107026,3.18796895717827e-06,0.000176249140918284,0.000160596932429281,"118502685/118502961/118504119/118504235/118505036/118505063/118505813/118507895/118507912/118510578/118511436/118513265/118514253/118517305",14
"9","GO:0015986","proton motive force-driven ATP synthesis","7/1024","10/9793",0.7,6.69443359375,6.15637621555441,1.21020865471622e-05,0.000520389721527974,0.000474175320853723,"118507831/118507973/118510160/118510727/118511311/118513902/118517570",7
"10","GO:0008194","UDP-glycosyltransferase activity","11/1024","27/9793",0.407407407407407,3.89623119212963,5.1495276491163,4.15118996103521e-05,0.00160651051492063,0.00146384067047031,"118506220/118508335/118508475/118510049/118513162/118513274/118514082/118514200/118514446/118514468/118517662",11
"11","GO:0043171","peptide catabolic process","10/1024","23/9793",0.434782608695652,4.15803328804348,5.18136259222671,4.77858465709559e-05,0.00168119296572363,0.00153189077524117,"118505826/118505827/118505828/118506173/118506638/118506639/118512315/118512318/118513317/118513372",10
"12","GO:0004497","monooxygenase activity","24/1024","99/9793",0.242424242424242,2.31841856060606,4.50536565097284,6.14727744583292e-05,0.00198249697628112,0.00180643679329301,"118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505440/118505441/118506660/118506666/118506914/118506916/118512064/118512203/118512341/118513644/118517131/118517133",24
"13","GO:0020037","heme binding","32/1024","151/9793",0.211920529801325,2.02669701986755,4.34468062460461,7.0661660658374e-05,0.00201861678642733,0.00183934890100137,"118502409/118503065/118503758/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505079/118505440/118505441/118505786/118506660/118506666/118506914/118506916/118507113/118511104/118512064/118512203/118512341/118512771/118513644/118514240/118516383/118517131/118517133",32
"14","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","24/1024","100/9793",0.24,2.295234375,4.44866702946566,7.30248966666217e-05,0.00201861678642733,0.00183934890100137,"118502409/118503065/118503800/118504411/118504412/118504413/118504415/118504477/118504599/118504808/118504895/118504899/118505440/118505441/118506660/118506666/118506914/118506916/118512064/118512203/118512341/118513644/118517131/118517133",24
"15","GO:0005840","ribosome","26/1024","113/9793",0.230088495575221,2.20044593473451,4.38586029739345,7.96908414659454e-05,0.00205602370982139,0.00187343381691872,"118503071/118503195/118503753/118504862/118505175/118506106/118506789/118507087/118507208/118507661/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513979/118514053/118514426",26
"16","GO:0022625","cytosolic large ribosomal subunit","14/1024","44/9793",0.318181818181818,3.04292436079545,4.64097507430792,9.66922495327625e-05,0.00233874378557369,0.00213104628904444,"118503071/118503195/118504700/118507087/118507661/118508009/118508450/118510526/118510559/118511001/118513034/118513214/118513979/118514426",14
"17","GO:0006412","translation","25/1024","111/9793",0.225225225225225,2.15393616272523,4.17802832213757,0.000156170464010146,0.00355517468070155,0.00323944925346122,"118503071/118503195/118503753/118504862/118505175/118506106/118506609/118506789/118507208/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513490/118514053/118517495",25
"18","GO:0022627","cytosolic small ribosomal subunit","11/1024","31/9793",0.354838709677419,3.39349168346774,4.56093637352559,0.00018187582448969,0.00380236373916663,0.00346468612163966,"118503753/118504862/118505175/118506106/118506609/118506789/118507208/118508369/118510167/118510781/118513084",11
"19","GO:0032367","intracellular cholesterol transport","6/1024","10/9793",0.6,5.7380859375,5.12244792965768,0.000186679356703271,0.00380236373916663,0.00346468612163966,"118504389/118504390/118504395/118504397/118507360/118510253",6
"20","GO:0005811","lipid droplet","8/1024","18/9793",0.444444444444444,4.25043402777778,4.71660895303672,0.000233008760855194,0.00418802793573705,0.00381610052623939,"118503171/118504498/118504969/118505751/118507060/118507879/118512702/118517023",8
"22","GO:0003735","structural constituent of ribosome","30/1024","147/9793",0.204081632653061,1.95172991071429,3.97291618191665,0.00023807910745792,0.00418802793573705,0.00381610052623939,"118503071/118503195/118503753/118504700/118504862/118505175/118506106/118506609/118506789/118507087/118507208/118507661/118508009/118508369/118508450/118509063/118510167/118510526/118510559/118510781/118510858/118511001/118511525/118513034/118513084/118513214/118513979/118514053/118514426/118517495",30
