"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"5","GO:0003676","nucleic acid binding",224,-0.577279701247563,-1.78686421524593,1.66956003453535e-07,1.86322899854145e-05,1.71525325653316e-05,1377,"tags=29%, list=11%, signal=27%","118515145/118514365/118513486/118507514/118510025/118507107/118502349/118514020/118504641/118503804/118502383/118503776/118516598/118514402/118503875/118507990/118509844/118502446/118503308/118509629/118510467/118514855/118516434/118517729/118505467/118503777/118510042/118506375/118502373/118516913/118506592/118508957/118504343/118504455/118515270/118504363/118509210/118511643/118506863/118508416/118505349/118515076/118507156/118503306/118510506/118502372/118502429/118512363/118504429/118503941/118511603/118513756/118510038/118515162/118514437/118502425/118511401/118515170/118503261/118508058/118503311/118504451/118508955/118502444/118512099/118506018"
"6","GO:0008540","proteasome regulatory particle, base subcomplex",12,-0.91152971053032,-1.95179615134113,2.76987964328342e-06,0.000220798977278878,0.000203263348258994,7,"tags=17%, list=0%, signal=17%","118504220/118505746"
"8","GO:0022627","cytosolic small ribosomal subunit",31,0.64665105737929,2.29435676479348,2.47135530352945e-05,0.00172377032421179,0.00158687024752944,3496,"tags=94%, list=29%, signal=67%","118506609/118506106/118513084/118504862/118503753/118507208/118503991/118508369/118510167/118510781/118507335/118505175/118502896/118507580/118505608/118509763/118506789/118506277/118506104/118517440/118505685/118505187/118509145/118511352/118510630/118513236/118506957/118508554/118502653"
"9","GO:0006099","tricarboxylic acid cycle",21,0.73055051203024,2.32769059383112,3.44221659630451e-05,0.0021341742897088,0.00196468034970363,2533,"tags=81%, list=21%, signal=64%","118517501/118510198/118507364/118503432/118506636/118506917/118507622/118505786/118506617/118504114/118509527/118504576/118512379/118514492/118505075/118514145/118503939"
"12","GO:0005506","iron ion binding",139,0.364094824964181,1.63079422697391,4.52333091053922e-05,0.00215991968819898,0.00198838107496906,2317,"tags=48%, list=19%, signal=39%","118503800/118507749/118506666/118512203/118504899/118506916/118506660/118509953/118510076/118506914/118502409/118512064/118504599/118504413/118506913/118504415/118513118/118503065/118504808/118504412/118510036/118504895/118514075/118504315/118504411/118506462/118504477/118516854/118516848/118502460/118512771/118506959/118517135/118510054/118517133/118512341/118509122/118513640/118511288/118510814/118517143/118506815/118513814/118506661/118514074/118511287/118504568/118510512/118510078/118511197/118513634/118517142/118506814/118507040/118505440/118504406/118504600/118507758/118517138/118505439/118503062/118517131/118504408/118514700/118503064/118506833/118506189"
"14","GO:0046949","fatty-acyl-CoA biosynthetic process",15,0.762195799125511,2.19539935883381,0.000217122995159017,0.00865390223562368,0.00796661816824063,1754,"tags=67%, list=14%, signal=57%","118506184/118511648/118506185/118506183/118503659/118510358/118512522/118508388/118514549/118505054"
"15","GO:0005764","lysosome",33,0.582391924600986,2.07537312600824,0.000267256119576601,0.00994192764824957,0.00915234991953554,3497,"tags=70%, list=29%, signal=50%","118510182/118513471/118507964/118508906/118503242/118508858/118505184/118502715/118512094/118504426/118505080/118510266/118512492/118505382/118506259/118505009/118503415/118506149/118502774/118512491/118506150/118505624/118508093"
"16","GO:0001676","long-chain fatty acid metabolic process",16,0.72384668288146,2.13100242454852,0.000385639540648994,0.0134491789801337,0.0123810589366256,1754,"tags=62%, list=14%, signal=54%","118507060/118506184/118506185/118506183/118503659/118510358/118512522/118508388/118514549/118505054"
"17","GO:0043171","peptide catabolic process",23,0.632142262676288,2.06002280607587,0.000414242800679983,0.0135969107517312,0.012517058001971,1369,"tags=52%, list=11%, signal=46%","118505827/118505828/118506173/118506638/118513372/118506878/118506639/118512315/118505430/118512258/118505826/118512318"
"18","GO:0015074","DNA integration",70,-0.620937623457029,-1.76001132057807,0.000460581397309965,0.0142780233166089,0.0131440773033487,1840,"tags=56%, list=15%, signal=48%","118513324/118504786/118516914/118508066/118511994/118515145/118514365/118507514/118502349/118514020/118516598/118503875/118507990/118509844/118502446/118509629/118516434/118517729/118505467/118506375/118516913/118506592/118504363/118509210/118506863/118515076/118507156/118503306/118510506/118502372/118503941/118511603/118511401/118515170/118508058/118503311/118504451/118508955/118506018"
"21","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",92,0.377737900335078,1.59795627484518,0.000681471158986128,0.0181076622244885,0.0166695702047735,2285,"tags=51%, list=19%, signal=42%","118503800/118507749/118506666/118512203/118504899/118506916/118506660/118509953/118506914/118502409/118512064/118504599/118504413/118506913/118504415/118503065/118504808/118504412/118504895/118504411/118506462/118504477/118516854/118516848/118506959/118517135/118510054/118517133/118512341/118513640/118510814/118517143/118513814/118506661/118510512/118513634/118517142/118505440/118504406/118504600/118517138/118505439/118503062/118517131/118504408/118514700/118503064"
"22","GO:0030170","pyridoxal phosphate binding",33,0.556540423731565,1.98325043696489,0.000733189499849515,0.0185963518598195,0.0171194486089265,2056,"tags=58%, list=17%, signal=48%","118514253/118507912/118505813/118504235/118504119/118502685/118505036/118511436/118510578/118507895/118505063/118513265/118508361/118502961/118510594/118503350/118512335/118517503/118503667"
"23","GO:0004497","monooxygenase activity",91,0.379350713585052,1.61321638189123,0.000827683509975449,0.0200803216767957,0.0184855630603212,2285,"tags=52%, list=19%, signal=42%","118503800/118507749/118506666/118512203/118504899/118506916/118506660/118509953/118506914/118502409/118512064/118504599/118504413/118506913/118504415/118503065/118504808/118504412/118504895/118504411/118506462/118504477/118516854/118516848/118506959/118517135/118510054/118517133/118512341/118513640/118510814/118517143/118513814/118506661/118510512/118513634/118517142/118505440/118504406/118504600/118517138/118505439/118503062/118517131/118504408/118514700/118503064"
"24","GO:0006635","fatty acid beta-oxidation",14,0.702582567386931,1.99240893264999,0.00089714442707308,0.0208586079294491,0.0192020386145466,2704,"tags=79%, list=22%, signal=61%","118504158/118503985/118509920/118516367/118505581/118509846/118507410/118512759/118511150/118513924/118504188"
"25","GO:0004467","long-chain fatty acid-CoA ligase activity",18,0.673700844373316,2.01103990078093,0.000943820844129455,0.0210660812409694,0.0193930346077968,2888,"tags=72%, list=24%, signal=55%","118506184/118506185/118506183/118503659/118510358/118512522/118508388/118514549/118505054/118504066/118504462/118507783/118503510"
"26","GO:0051287","NAD binding",23,0.598923508071025,1.95176965466251,0.00137589322910674,0.0295287854554446,0.0271836395062384,2971,"tags=70%, list=25%, signal=53%","118504760/118511655/118512837/118507284/118504757/118513311/118513567/118502975/118505075/118512095/118505655/118511657/118511652/118514265/118507564/118513950"
"27","GO:0006749","glutathione metabolic process",29,0.5466524201492,1.90049795894093,0.00193307365326397,0.0385233963757605,0.0354639076237901,2624,"tags=59%, list=22%, signal=46%","118512554/118512551/118503123/118505614/118512553/118503126/118502580/118512550/118512552/118503127/118507916/118503128/118517494/118512555/118510840/118502999/118503004"
